C2N35D100T18V4p	6.62971e-312	2463.91	0	3.72066e-103	3.6892e-313	100	6.62972e-312	0	3.6892e-313	1e+08	0	0	0	3.6892e-313
C2N35D100T24V0p	1.15208e-311	6466.7	0	3.72066e-103	3.9631e-312	100	1.15208e-311	0	3.9631e-312	1e+08	0	0	0	3.9631e-312
C2N35D100T24V1p	7.71541e-312	3206.2	0	3.72066e-103	2.12251e-314	100	7.71541e-312	0	2.12251e-314	1e+08	0	0	0	2.12251e-314
C2N35D100T24V2p	8.83295e-312	2262.83	0	3.72066e-103	3.12807e-312	100	8.83295e-312	0	3.12807e-312	1e+08	0	0	0	3.12807e-312
C2N35D100T24V4p	1.04576e-311	2012.58	0	3.72066e-103	1.35415e-312	100	1.04576e-311	0	1.35415e-312	1e+08	0	0	0	1.35415e-312
R1N20D50T12V4p	169.5	2.372	3620	170	0.097	0.294118	1.20035e-311	113	0.369	169.5	0	0	0	0.294118
R1N25D100T18V0p	317	6.027	3744	317	0.206	0	9.92194e-312	0	3.20268e-312	317	0	0	0	0
R1N25D100T18V1p	343.917	7.954	4635	345	0.216	0.31401	1.35283e-311	240	2.155	343.917	0	0	0	0.31401
R1N25D100T18V2p	337.5	5.89	3705	339	0.195	0.442478	1.44465e-311	416	2.07	337.5	0	0	0	0.442478
R1N25D100T18V3p	307.5	4.069	2895	308	0.13	0.162338	1.26268e-311	62	1.888	307.5	0	0	0	0.162338
R1N25D100T18V4p	290	3.973	2473	290	0.094	0	1.28274e-311	0	2.13477e-312	290	0	0	0	0
R1N25D100T24V0p	441	5.529	2403	441	0.223	0	7.7068e-312	0	1.31746e-312	441	0	0	0	0
R1N25D100T24V1p	409.5	7.736	2823	410	0.21	0.121951	1.0343e-311	131	4.635	409.5	0	0	0	0.121951
R1N25D100T24V2p	444.6	9.146	3806	446	0.353	0.313901	1.20668e-311	635	4.448	444.6	0	0	0	0.313901
R1N25D100T24V3p	420.75	5.397	3093	421	0.173	0.0593824	1.09553e-311	101	4.44	420.75	0	0	0	0.0593824
R1N25D100T24V4p	450.167	6.951	2947	452	0.379	0.405605	6.87341e-312	529	4.439	450.167	0	0	0	0.405605
R1N30D100T18V0p	385.81	19.812	6247	388	0.369	0.564344	1.07206e-311	1453	3.578	385.81	0	0	0	0.564344
R1N30D100T18V1p	409.981	16.979	5881	411	0.386	0.247943	9.55265e-312	554	3.725	409.981	0	0	0	0.247943
R1N30D100T18V2p	370.056	10.331	3847	372	0.269	0.5227	1.04307e-311	628	3.633	370.056	0	0	0	0.5227
R1N30D100T18V3p	335	17.677	4522	337	0.225	0.593472	1.01833e-311	1424	3.595	335	0	0	0	0.593472
R1N30D100T18V4p	382	13.607	4326	383	0.295	0.261097	1.30916e-311	771	3.551	382	0	0	0	0.261097
R1N30D100T24V0p	410	40.135	3641	410	0.407	0	1.23243e-311	0	4.36643e-312	410	0	0	0	0
R1N30D100T24V1p	461.5	26.567	3643	462	0.485	0.108225	1.42853e-311	264	8.063	461.5	0	0	0	0.108225
R1N30D100T24V2p	447.667	25.529	3283	448	0.41	0.0744048	1.45251e-311	162	7.902	447.667	0	0	0	0.0744048
R1N30D100T24V3p	500.449	27.739	6162	503	0.615	0.507102	8.60414e-312	2121	8.31	500.449	0	0	0	0.507102
R1N30D100T24V4p	475.444	24.236	4023	476	0.607	0.116713	7.19146e-312	328	8.066	475.444	0	0	0	0.116713
R1N35D100T18V0p	406	24.235	3935	407	0.257	0.2457	1.09171e-311	800	5.244	406	0	0	0	0.2457
R1N35D100T18V1p	425.603	51.29	6045	427	0.524	0.327268	1.32356e-311	779	7.911	425.603	0	0	0	0.327268
R1N35D100T18V2p	428.667	40.558	5637	430	0.33	0.310078	9.06237e-312	558	5.891	428.667	0	0	0	0.310078
R1N35D100T18V3p	423.167	36.454	4399	425	0.297	0.431373	1.35615e-311	979	5.835	423.167	0	0	0	0.431373
R1N35D100T18V4p	435.727	43.75	4219	436	0.416	0.0625521	8.04249e-312	143	6.881	435.727	0	0	0	0.0625521
R1N35D100T24V0p	574.6	46.091	4080	575	0.618	0.0695652	8.87586e-312	265	12.689	574.6	0	0	0	0.0695652
R1N35D100T24V1p	584.5	46.887	6065	585	0.734	0.0854701	1.24904e-311	451	12.444	584.5	0	0	0	0.0854701
R1N35D100T24V2p	551.062	122.119	4608	553	0.998	0.350362	1.54347e-311	1539	20.378	551.062	0	0	0	0.350362
R1N35D100T24V3p	598	91.082	4166	598	0.665	0	7.23821e-312	0	4.32358e-314	598	0	0	0	0
R1N35D100T24V4p	560.5	73.074	5410	561	0.514	0.0891266	1.14063e-311	253	12.157	560.5	0	0	0	0.0891266
RC1N25D100T18V0p	1.08028e-311	2076.72	0	3.72066e-103	4.02257e-312	100	2.37152e-322	0	4.02257e-312	1e+08	0	0	0	4.02257e-312
RC1N25D100T18V1p	1.10152e-311	2156.5	0	3.72066e-103	3.65103e-312	100	2.37152e-322	0	3.65103e-312	1e+08	0	0	0	3.65103e-312
RC1N25D100T18V2p	8.20891e-312	3099.33	0	3.72066e-103	1.30498e-312	100	2.37152e-322	0	1.30498e-312	1e+08	0	0	0	1.30498e-312
RC1N25D100T18V3p	405.5	234.83	2137	407	0.248	0.36855	2.37152e-322	1035	3.528	405.5	0	0	0	0.36855
RC1N25D100T18V4p	8.98903e-312	6492.71	0	3.72066e-103	1.10161e-312	100	2.37152e-322	0	1.10161e-312	1e+08	0	0	0	1.10161e-312
RC1N25D100T24V0p	1.44787e-311	1932.57	0	3.72066e-103	4.35296e-312	100	2.37152e-322	0	4.35296e-312	1e+08	0	0	0	4.35296e-312
RC1N25D100T24V1p	1.17662e-311	3019.73	0	3.72066e-103	1.69732e-312	100	2.37152e-322	0	1.69732e-312	1e+08	0	0	0	1.69732e-312
RC1N25D100T24V2p	1.29386e-311	6079.92	0	3.72066e-103	3.7615e-312	100	2.37152e-322	0	3.7615e-312	1e+08	0	0	0	3.7615e-312
RC1N25D100T24V3p	1.46361e-311	4375.6	0	3.72066e-103	4.47486e-312	100	2.37152e-322	0	4.47486e-312	1e+08	0	0	0	4.47486e-312
RC1N30D100T18V0p	9.71966e-312	2678.73	0	3.72066e-103	5.18767e-313	100	2.37152e-322	0	5.18767e-313	1e+08	0	0	0	5.18767e-313
RC1N30D100T18V1p	100000	1157.19	2837	3.72066e-103	0.17	-2.68769e+109	2.37152e-322	18862	5.668	100000	0	0	0	-2.68769e+109
RC1N30D100T18V2p	100000	15.866	1305	3.72066e-103	0.036	-2.68769e+109	2.37152e-322	17975	4.912	100000	0	0	0	-2.68769e+109
RC1N30D100T18V3p	100000	29.955	1464	3.72066e-103	0.047	-2.68769e+109	2.37152e-322	22053	5.223	100000	0	0	0	-2.68769e+109
RC1N30D100T18V4p	100000	4.965	1295	3.72066e-103	0.035	-2.68769e+109	2.37152e-322	24649	5.386	100000	0	0	0	-2.68769e+109
RC1N30D100T24V0p	1.12882e-311	3636.99	0	3.72066e-103	5.12177e-312	100	2.37152e-322	0	5.12177e-312	1e+08	0	0	0	5.12177e-312
RC1N30D100T24V1p	1.07096e-311	1986.12	0	3.72066e-103	3.07063e-312	100	2.37152e-322	0	3.07063e-312	1e+08	0	0	0	3.07063e-312
RC1N30D100T24V2p	9.14029e-312	7417.49	0	3.72066e-103	7.8217e-313	100	2.37152e-322	0	7.8217e-313	1e+08	0	0	0	7.8217e-313
RC1N30D100T24V3p	1.10082e-311	3091.37	0	3.72066e-103	5.44483e-313	100	2.37152e-322	0	5.44483e-313	1e+08	0	0	0	5.44483e-313
RC1N30D100T24V4p	9.91238e-312	2347.09	0	3.72066e-103	2.3689e-312	100	2.37152e-322	0	2.3689e-312	1e+08	0	0	0	2.3689e-312
RC1N35D100T18V0p	1.48984e-311	1832.36	0	3.72066e-103	4.09328e-312	100	2.37152e-322	0	4.09328e-312	1e+08	0	0	0	4.09328e-312
RC1N35D100T18V1p	100000	685.251	1835	3.72066e-103	0.085	-2.68769e+109	2.37152e-322	10299	5.865	100000	0	0	0	-2.68769e+109
RC1N35D100T18V2p	100000	1415.16	2488	3.72066e-103	0.142	-2.68769e+109	2.37152e-322	21870	7.152	100000	0	0	0	-2.68769e+109
RC1N35D100T18V3p	100000	761.212	1982	3.72066e-103	0.105	-2.68769e+109	2.37152e-322	17379	6.69	100000	0	0	0	-2.68769e+109
RC1N35D100T18V4p	1.33223e-311	1834.59	0	3.72066e-103	2.73329e-312	100	2.37152e-322	0	2.73329e-312	1e+08	0	0	0	2.73329e-312
RC1N35D100T24V0p	1.08163e-311	2497.28	0	3.72066e-103	3.89314e-312	100	2.37152e-322	0	3.89314e-312	1e+08	0	0	0	3.89314e-312
RC1N35D100T24V1p	1.01945e-311	3080.85	0	3.72066e-103	1.86652e-312	100	2.37152e-322	0	1.86652e-312	1e+08	0	0	0	1.86652e-312
RC1N25D100T18V5p	374.333	247.414	2773	379	0.253	1.23131	2.37152e-322	2274	3.972	374.333	0	0	0	1.23131
RC1N25D100T24V5p	1.13826e-311	1967.26	0	3.72066e-103	3.67102e-312	100	2.37152e-322	0	3.67102e-312	1e+08	0	0	0	3.67102e-312
RC1N25D100T24V6p	1.20996e-311	2249.62	0	3.72066e-103	2.99477e-312	100	2.37152e-322	0	2.99477e-312	1e+08	0	0	0	2.99477e-312
RC1N25D100T24V7p	8.77189e-312	2268.52	0	3.72066e-103	1.35401e-312	100	2.37152e-322	0	1.35401e-312	1e+08	0	0	0	1.35401e-312
RC1N25D100T24V9p	1.29706e-311	2240.34	0	3.72066e-103	5.28811e-312	100	2.37152e-322	0	5.28811e-312	1e+08	0	0	0	1.29706e-311
RC1N30D100T18V5p	100000	4.533	1201	3.72066e-103	0.032	-2.68769e+109	2.37152e-322	12078	4.058	100000	0	0	0	-2.68769e+109
RC1N30D100T18V6p	100000	32.746	1293	3.72066e-103	0.055	-2.68769e+109	2.37152e-322	18383	4.578	100000	0	0	0	-2.68769e+109
RC1N30D100T18V7p	100000	6.607	1201	3.72066e-103	0.033	-2.68769e+109	2.37152e-322	16810	4.474	100000	0	0	0	-2.68769e+109
RC1N30D100T18V8p	100000	165.911	2571	3.72066e-103	0.075	-2.68769e+109	2.37152e-322	13523	4.611	100000	0	0	0	-2.68769e+109
